HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,lastObsDate,cuminf_50,underasc_50,pointprevalence_pred7d_025,pointprevalence_pred7d_50,pointprevalence_pred7d_975,pointprevalence_pred14d_025,pointprevalence_pred14d_50,pointprevalence_pred14d_975
4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2021-09-07 02:19:49.338076,2021-09-07 00:00:00.000000,0:59:31.472876,6.90680042,10.04971894,13.73652564,1623,2362,3228,2021-09-06,82.79195571,8.75249520,5.97741248,9.82752055,15.29525797,4.83946640,8.57088846,15.10706970
4755,CanadaSaskatchewanNorthCentral,Saskatchewan,North Central,2021-09-07 02:36:03.777260,2021-09-07 00:00:00.000000,1:15:50.142518,6.42857616,9.47419792,13.14089405,5651,8329,11552,2021-09-06,61.71904428,11.99521835,7.49852087,12.51977416,16.64576918,8.09590416,14.38290578,19.48476180
592,CanadaBCInterior,BC,Interior,2021-09-03 06:07:52.241863,2021-09-03 00:00:00.000000,3:53:03.725374,4.88469443,7.83726916,10.91193480,34722,55710,77566,2021-09-02,32.79078669,11.99375386,4.04118533,7.04495914,9.58944326,3.25625179,5.87303484,7.63957280
594,CanadaBCNorthern,BC,Northern,2021-09-07 04:15:45.925316,2021-09-07 00:00:00.000000,2:54:01.442219,3.38442632,5.77177069,7.14521307,9667,16487,20411,2021-09-06,58.53347424,13.37910316,3.58935859,7.98989587,9.90781150,3.66970844,9.49073896,12.45043083
4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2021-09-07 02:30:56.416978,2021-09-07 00:00:00.000000,1:10:42.781562,4.02355172,5.67221318,7.11676479,3210,4526,5678,2021-09-06,49.36497820,8.52790086,5.71641469,9.49354380,12.75154947,7.53102808,13.60139825,19.01481704
4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2021-09-07 02:23:27.858457,2021-09-07 00:00:00.000000,1:03:04.209195,2.94484243,5.31251674,9.95766923,1201,2167,4062,2021-09-06,59.77312911,12.78019196,2.75951424,5.79628620,11.84213337,2.29080785,6.06745071,13.08851515
4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2021-09-07 02:11:14.998863,2021-09-07 00:00:00.000000,0:50:54.858668,1.99052803,4.82023350,7.93182017,725,1757,2891,2021-09-06,19.90553677,10.91528863,2.38802850,6.93062720,12.83604968,2.65208376,9.07729185,17.12660859
4835,CanadaAlbertaNorth,Alberta,North,2021-09-07 04:07:47.008742,2021-09-07 00:00:00.000000,2:46:04.017240,2.11338472,4.25369705,7.16459444,9793,19712,33201,2021-09-06,71.78445931,10.95545394,1.83849945,4.86039980,9.79912249,1.55358893,5.31486448,11.90414320
4754,CanadaSaskatchewanFarNorthWest,Saskatchewan,Far North West,2021-09-07 02:25:51.921178,2021-09-07 00:00:00.000000,1:05:32.748877,2.86433486,4.10246341,6.03384087,789,1130,1662,2021-09-06,64.50834777,7.16750731,2.73619350,4.28760879,6.74180597,2.44850789,4.13422260,7.88737641
4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2021-09-03 03:53:05.626865,2021-09-03 00:00:00.000000,1:39:50.869453,2.07174138,4.00064610,6.38254510,7168,13843,22085,2021-09-02,35.10787039,10.52624312,2.69827130,6.40077289,9.68484755,3.28295305,9.15514527,13.33725601
